1.5	24.0	57.42396860255985	0.9110484725017972	81.90918564796448
2.0	32.0	57.42396860255985	0.9110484725017972	81.90918564796448
2.5	40.0	57.42396860255985	0.9110484725017972	81.90918564796448
3.0	48.0	57.42396860255985	0.9110484725017972	81.90918564796448
3.5	56.0	57.03768927193869	0.9108544421513012	82.27720856666565
4.0	64.0	56.783556307042375	0.9104483352213921	82.5227439403534
4.5	72.0	64.27762429163676	0.9095569701065529	75.49886703491211
5.0	80.0	66.9888106943942	0.9099256367237168	73.21617603302002
6.0	96.0	86.86813461491492	0.8781263341627793	59.87721085548401
7.0	112.0	87.59422625442464	0.8822075521672804	59.33808088302612
8.0	128.0	99.11011129529639	0.8474324096523749	53.34453582763672
10.0	160.0	114.13658060467338	0.773645722433113	47.35718369483948
15.0	240.0	116.65796364045504	0.7401494067431037	47.79649376869202
20.0	320.0	138.96829642671443	0.5413645587261412	36.14935576915741
