label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.856205601742656,0.0,21.967568705188217,1.2131132654254375,0.065,0.0
T1_2,1.432,1.4434917970296128,0.008202892351933166,21.943658732807894,0.8024997925707328,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0244462916729962,0.0,21.796925602775897,0.24865709123697619,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7524135044317034,0.0,21.62167796797398,0.14821035960381182,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5279189910593274,0.0,21.331332269108422,0.17438160518545662,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.38332796317627404,0.0,21.19609721622324,0.20099891271178139,-0.065,7.960204194457795e-18
T1_7,0.2723,0.2720478988371007,0.0,20.489595100551522,0.09258213841326102,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.19307242458502225,0.0,19.850954286268454,0.7339719357212138,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.13702352157279535,0.0,18.961597558793596,0.5634821677827705,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.0939674597976633,0.0,17.579358443878018,0.7735377004611474,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06745537052161518,0.0,15.661817861175527,0.6796574949480272,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.04842343319704746,0.0,13.677626965596701,0.5887685854745625,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.034366116018720014,0.0,11.309501532264257,0.04691708506554634,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.0238383935162562,0.0,8.477020782122953,1.3311526645024858,0.019798989873223326,-0.019798989873223333
